Symbol	EndDate	StateTypeCode	Area	ApplyTypeCode	ApplyType	Patents	Invention	UtilityModel	Design
600875	2015-12-31	1	1	S5201	已申请	266	127		
600875	2015-12-31	1	1	S5203	已授权	204	79		
600876	2015-12-31	1	1	S5201	已申请		10		
600879	2015-12-31	1	1	S5201	已申请	320			
600884	2015-12-31	1	1	S5201	已申请	22	6		
600884	2015-12-31	1	1	S5203	已授权	6			
600885	2015-12-31	1	1	S5201	已申请	173	60		
600885	2015-12-31	1	2	S5201	已申请	7			
600885	2015-12-31	1	1	S5203	已授权	91	14		
600886	2015-12-31	1	1	S5201	已申请	18			
600886	2015-12-31	1	1	S5203	已授权	8	2		
600887	2015-12-31	1	1	S5206	截止报告期末累计已授权	1812			
600889	2015-12-31	1	1	S5203	已授权	7	1	6	0
600893	2015-12-31	1	1	S5201	已申请	816	503	313	0
600894	2015-12-31	1	1	S5203	已授权	100			
600894	2015-12-31	1	1	S5204	截至报告期末累计获得	303	17		
600900	2015-12-31	1	1	S5202	已获得	183			
600960	2015-12-31	1	1	S5201	已申请		3	11	
600962	2015-12-31	1	1	S5204	截至报告期末累计获得		12		
600962	2015-12-31	1	2	S5202	已获得		1		
600962	2015-12-31	1	1	S5202	已获得		6		
600967	2015-12-31	1	1	S5203	已授权	11			
600970	2015-12-31	1	1	S5201	已申请	68			
600970	2015-12-31	1	1	S5203	已授权	54			
600976	2015-12-31	1	1	S5204	截至报告期末累计获得		15		
600980	2015-12-31	1	1	S5206	截止报告期末累计已授权	146			
600983	2015-12-31	1	1	S5201	已申请	138	61		
600983	2015-12-31	1	1	S5206	截止报告期末累计已授权	695	34	424	237
600984	2015-12-31	1	1	S5204	截至报告期末累计获得			19	
600984	2015-12-31	1	1	S5203	已授权		2	5	
600988	2015-12-31	1	1	S5202	已获得		9	1	
600990	2015-12-31	1	1	S5201	已申请	188	77		
600992	2015-12-31	1	1	S5205	截止报告期末累计已被受理	227			
600992	2015-12-31	1	1	S5206	截止报告期末累计已授权	108			
600997	2015-12-31	1	1	S5203	已授权		1		
600998	2015-12-31	1	1	S5202	已获得	5			
601002	2015-12-31	1	1	S5204	截至报告期末累计获得				11
601011	2015-12-31	1	1	S5204	截至报告期末累计获得		10	91	
601011	2015-12-31	1	1	S5202	已获得	3	1	2	0
601011	2015-12-31	1	1	S5201	已申请	5	2	3	0
601012	2015-12-31	1	1	S5204	截至报告期末累计获得	133			
601028	2015-12-31	1	1	S5202	已获得			11	
601038	2015-12-31	1	1	S5201	已申请	50			
601058	2015-12-31	1	1	S5203	已授权	69	16		
601088	2015-12-31	1	1	S5203	已授权	489	111		
601100	2015-12-31	1	1	S5201	已申请	28	17		
601101	2015-12-31	1	1	S5202	已获得	36	2		
601101	2015-12-31	1	1	S5201	已申请		4	3	
601106	2015-12-31	1	1	S5203	已授权		37		
601106	2015-12-31	1	1	S5202	已获得		2	4	
601113	2015-12-31	1	1	S5202	已获得		5		
601113	2015-12-31	1	1	S5201	已申请	4	2		
601113	2015-12-31	1	1	S5203	已授权		1		
601117	2015-12-31	1	1	S5204	截至报告期末累计获得	1450			
601117	2015-12-31	1	1	S5203	已授权	376			
601126	2015-12-31	1	1	S5203	已授权	333			
601137	2015-12-31	1	1	S5205	截止报告期末累计已被受理		67		
601137	2015-12-31	1	2	S5206	截止报告期末累计已授权		1		
601137	2015-12-31	1	1	S5206	截止报告期末累计已授权		31		
601137	2015-12-31	1	1	S5201	已申请		9		
601137	2015-12-31	1	1	S5203	已授权		4		
601177	2015-12-31	1	1	S5204	截至报告期末累计获得	252	22		
601177	2015-12-31	1	1	S5203	已授权	26	4	22	0
601186	2015-12-31	1	1	S5204	截至报告期末累计获得	5125			
601199	2015-12-31	1	1	S5204	截至报告期末累计获得	5			
601208	2015-12-31	1	1	S5201	已申请	16			
601208	2015-12-31	1	1	S5203	已授权		20		
601208	2015-12-31	1	1	S5205	截止报告期末累计已被受理	130			
601208	2015-12-31	1	1	S5206	截止报告期末累计已授权		70	2	
601218	2015-12-31	1	1	S5203	已授权			1	
601218	2015-12-31	1	1	S5201	已申请		4	3	
601222	2015-12-31	1	1	S5204	截至报告期末累计获得	123	14		
601222	2015-12-31	1	1	S5201	已申请		17	3	
601222	2015-12-31	1	2	S5201	已申请		1		
601222	2015-12-31	1	1	S5203	已授权	40	7		
601222	2015-12-31	1	1	S5202	已获得	10	2	7	1
601226	2015-12-31	1	1	S5204	截至报告期末累计获得	290	28	262	0
601226	2015-12-31	1	1	S5203	已授权	80	11		
601226	2015-12-31	1	1	S5201	已申请	147	46		
601238	2015-12-31	1	1	S5201	已申请	634	148	230	256
